,area,convex_area,bbox_area,major_axis_length,minor_axis_length,perimeter,equivalent_diameter,mean_intensity,solidity,eccentricity,ratio_length,perimeter_ratio_major,perimeter_ratio_minor,area_ratio_convex,area_ratio_bbox,peri_over_dia,Finding
1,171,478,507,47.70533981,13.78240919,157.863961,14.75547228,230.5321637,0.357740586,0.957357151,3.461320814,3.309146558,11.45401786,0.357740586,0.337278107,10.6986722,Normal
2,295,476,972,34.68904069,16.8164317,132.2253967,19.38054864,132.6271186,0.619747899,0.874638066,2.062806266,3.811734027,7.862868834,0.619747899,0.303497942,6.822582744,Normal
3,133,225,682,39.79181909,7.358203507,85.63351365,13.01310338,132.4360902,0.591111111,0.982754049,5.407817146,2.152038173,11.63782893,0.591111111,0.195014663,6.580560469,Normal
5,937,1221,1856,55.3199251,25.22360198,163.4974747,34.54020054,142.5795091,0.767403767,0.890000927,2.193181019,2.955489806,6.481924145,0.767403767,0.504849138,4.733541558,Normal
2,107,157,234,15.60342842,11.61914384,58.73401872,11.67204486,130.1775701,0.681528662,0.667451513,1.342906898,3.764173945,5.054935157,0.681528662,0.457264957,5.032024757,Normal
4,213,327,345,24.42275497,16.54613895,87.79898987,16.46815178,164.6150235,0.651376147,0.73553324,1.476039518,3.594966661,5.306312858,0.651376147,0.617391304,5.331441624,Normal
5,235,389,676,44.84815562,9.520348437,121.5269119,17.29772508,141.0255319,0.604113111,0.977208971,4.7107683,2.709741577,12.76496472,0.604113111,0.347633136,7.025600844,Normal
6,236,318,532,32.73920703,10.9100602,91.59797975,17.33448968,133.3898305,0.742138365,0.942841529,3.000827349,2.797806913,8.395735501,0.742138365,0.443609023,5.284146313,Normal
1,180,273,297,27.68153475,11.7015475,85.59188309,15.13879513,190.3333333,0.659340659,0.906260185,2.365630251,3.092020867,7.314578099,0.659340659,0.606060606,5.653810779,Normal
2,288,556,840,45.71657331,15.22827645,179.0538239,19.14922946,131.1354167,0.517985612,0.942890841,3.002084541,3.916606406,11.75798355,0.517985612,0.342857143,9.350445366,Normal
1,145,226,238,17.61200226,15.90838566,64.93502884,13.58748446,179.062069,0.64159292,0.429073523,1.107089219,3.686975955,4.08181133,0.64159292,0.609243697,4.779032427,Normal
1,117,157,224,16.10932941,11.25095704,57.90559159,12.20528684,133.965812,0.74522293,0.715695451,1.431818588,3.594537681,5.146725865,0.74522293,0.522321429,4.744304036,Normal
2,133,149,216,16.19576095,10.66164359,47.627417,13.01310338,144.8646617,0.89261745,0.752757073,1.519067938,2.940733514,4.467173994,0.89261745,0.615740741,3.659958399,Normal
5,146,213,342,18.95683421,12.18499295,73.39087297,13.63425735,133.0890411,0.685446009,0.766054411,1.555752579,3.871473061,6.0230542,0.685446009,0.426900585,5.382828787,Normal
1,183,277,312,25.98927132,13.03742613,78.6629509,15.26443044,187.0655738,0.660649819,0.865072727,1.993435748,3.026747073,6.033625817,0.660649819,0.586538462,5.153349888,Normal
1,180,280,294,21.81980666,15.77365323,75.3492424,15.13879513,167.55,0.642857143,0.690947155,1.38330711,3.453249774,4.776904964,0.642857143,0.612244898,4.977228488,Normal
1,140,191,304,16.84179112,13.12373571,63.07716447,13.35116236,136.1928571,0.732984293,0.626730183,1.283307702,3.745276497,4.806342176,0.732984293,0.460526316,4.724469884,Normal
2,177,268,300,26.43966778,12.35396945,81.59188309,15.01210843,186.180791,0.660447761,0.884124545,2.140175908,3.085964762,6.604507436,0.660447761,0.59,5.435071528,Normal
3,8850,25104,48276,440.373619,54.11637228,1538.230627,106.1516367,146.6033898,0.352533461,0.992420619,8.137530297,3.493012661,28.42449636,0.352533461,0.183320905,14.49087998,Normal
1,136,379,416,39.44583294,14.32296655,125.863961,13.15904928,233.0955882,0.35883905,0.931748352,2.754026745,3.190805001,8.787562311,0.35883905,0.326923077,9.564821767,Normal
4,144,300,525,32.76831937,10.55842322,101.9705627,13.54055001,135.75,0.48,0.946666733,3.103523952,3.111864285,9.657745345,0.48,0.274285714,7.530754859,Normal
1,157,233,253,24.44412185,11.55898197,73.76345597,14.13855044,186.2802548,0.673819742,0.881130228,2.114729646,3.01763575,6.381483782,0.673819742,0.62055336,5.217186605,Normal
2,133,146,180,15.57042826,11.37992724,45.93502884,13.01310338,188.5789474,0.910958904,0.682518875,1.368236187,2.950145499,4.036495828,0.910958904,0.738888889,3.529905782,Normal
3,150,225,1408,69.14884199,3.126483015,121.0771645,13.81976598,133.56,0.666666667,0.998977332,22.11713343,1.750964456,38.72631449,0.666666667,0.106534091,8.761158811,Normal
4,477,790,3465,103.6786299,8.697146901,255.0243866,24.644173,138.327044,0.603797468,0.996475389,11.9209933,2.459758456,29.32276407,0.603797468,0.137662338,10.34826312,Normal
1,134858,173403,184320,613.4625012,328.4011702,3358.773916,414.3748768,164.2239763,0.777714342,0.84464683,1.868027757,5.475108763,10.22765514,0.777714342,0.731651476,8.10564082,Normal
2,175,241,364,25.23736216,10.01061437,86.07716447,14.9270533,130.5314286,0.726141079,0.917966246,2.521060268,3.410703699,8.598589582,0.726141079,0.480769231,5.766520874,Normal
3,381,881,2790,75.62739094,14.19859023,225.0893578,22.02508267,133.5800525,0.43246311,0.982217992,5.326401404,2.976294104,15.8529371,0.43246311,0.13655914,10.21968277,Normal
